ts,bpm,source,confidence,device
1730704523123,88,watch_live,0.95,watch
1730704523123,88,watch_live,0.95,watch
1730704523123,88,watch_live,0.95,watch
1730704523123,88,watch_live,0.95,watch
1730704523123,88,watch_live,0.95,watch
1730704523123,83,watch_live,0.95,watch
1730704523123,83,watch_live,0.95,watch
1730704523123,86,watch_live,0.95,watch
1730704523123,88,watch_live,0.95,watch
1730704523123,70,watch_live,0.95,watch
1762904519934,68,watch_live,,watch
1762904555788,79,watch_live,,watch
1762904560773,76,watch_live,,watch
1762904565781,73,watch_live,,watch
1762904570252,73,watch_live,,watch
1762904580730,69,watch_live,,watch
1762904585250,70,watch_live,,watch
1762904590699,74,watch_live,,watch
1762904595759,71,watch_live,,watch
1762904599334,71,watch_live,,watch
1762904604469,70,watch_live,,watch
1762904609575,71,watch_live,,watch
1762904615782,71,watch_live,,watch
1762904619813,73,watch_live,,watch
1762904624936,75,watch_live,,watch
1762904630035,74,watch_live,,watch
1762904635167,73,watch_live,,watch
1762904640287,73,watch_live,,watch
1762904645332,73,watch_live,,watch
1762904655325,71,watch_live,,watch
1762904660323,70,watch_live,,watch
1730704523123,70,watch_live,0.95,watch
